"name","lat","long","nbBikes","nbEmptyDocks"
"Silver Spring Metro/Colesville Rd & Wayne Ave","38.99521","-77.02918","9","10"
"Montgomery & East Ln","38.983525","-77.095367","7","4"
"Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir","38.961763","-77.085998","16","3"
"14th & Belmont St NW","38.921074","-77.031887","2","13"
"3rd & Tingey St SE","38.87501","-77.0024","15","4"
"10th & Florida Ave NW","38.920387","-77.025672","2","17"
"Potomac Ave & 8th St SE","38.876737","-76.994468","6","7"
"Crabbs Branch Way & Redland Rd","39.120045","-77.156985","7","7"
"Fallsgrove Dr & W Montgomery Ave","39.099376","-77.188014","8","7"
"Monroe St & Monroe Pl","39.083705","-77.149443","7","8"
"Needwood Rd & Eagles Head Ct","39.123513","-77.15741","7","8"
"East West Hwy & Blair Mill Rd","38.990249","-77.02935","8","7"
"Crabbs Branch Way & Calhoun Pl","39.107709","-77.152072","7","8"
"47th & Elm St","38.982456","-77.091991","13","2"
"Garland Ave & Walden Rd","39.000578","-77.00149","10","5"
"Montgomery College/W Campus Dr & Mannakee St","39.095661","-77.159048","9","12"
"Fenton St & Gist Ave","38.989724","-77.023854","7","4"
"Carroll & Westmoreland Ave","38.975","-77.01121","10","5"
"Carroll & Ethan Allen Ave","38.977933","-77.006472","9","6"
"Battery Ln & Trolley Trail","38.992375","-77.100104","6","9"
"Norfolk & Rugby Ave","38.990639","-77.100239","7","4"
"Offutt Ln & Chevy Chase Dr","38.977093","-77.094589","9","2"
"Broschart & Blackwell Rd","39.102099","-77.200322","9","6"
"Taft St & E Gude Dr","39.094103","-77.132954","8","7"
"Fleet St & Ritchie Pkwy","39.076331","-77.141378","7","8"
"Piccard & W Gude Dr","39.102212","-77.177091","10","9"
"Ripley & Bonifant St","38.992679","-77.029457","9","6"
"Georgia Ave & Spring St","38.999388","-77.031555","4","6"
"Fenton St & Ellsworth Dr ","38.997033","-77.025608","8","6"
"King Farm Blvd & Pleasant Dr","39.114688","-77.171487","9","9"
"King Farm Blvd & Piccard Dr","39.110314","-77.182669","9","6"
"Calvert St & Woodley Pl NW","38.923583","-77.050046","11","8"
"New Jersey Ave & N St NW/Dunbar HS","38.90706","-77.015231","3","16"
