Title,Date,Catalog_No,Instrument1,Instrument2,Instrument3,Genre,Key
Serenade Op. 25 ii,1801,Op25,Flute,Violin,Viola,Trio,D major
Serenade Op. 25 iii,1801,Op25,Flute,Violin,Viola,Trio,D minor
Serenade Op. 25 iv,1801,Op25,Flute,Violin,Viola,Trio,G major
Serenade Op. 25 v,1801,Op25,Flute,Violin,Viola,Trio,D major
Serenade Op. 25 vi,1801,Op25,Flute,Violin,Viola,Trio,D major
Wind Sextet Op 71 i,1796,Op71,Windensemble,NA,NA,MiscWindEnsemble,Eb major
Wind Sextet Op 71 ii,1796,Op71,Windensemble,NA,NA,MiscWindEnsemble,Bb major
Wind Sextet Op 71 iii,1796,Op71,Windensemble,NA,NA,MiscWindEnsemble,Eb major
Wind Sextet Op 71 iv,1796,Op71,Windensemble,NA,NA,MiscWindEnsemble,Eb major
Six ócossaises for Piano WoO86,1790,WoO86,Piano,NA,NA,SoloDance,Eb major
Piano Sonata 12 i,1800,Op26,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 12 ii,1800,Op26,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 12 iii,1800,Op26,Piano,NA,NA,SoloSonata,Ab minor
Piano Sonata 12 iv,1800,Op26,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 13 i,1801,Op27no1,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 13 ii,1801,Op27no1,Piano,NA,NA,SoloSonata,C minor
Piano Sonata 13 iii,1801,Op27no1,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 13 iv,1801,Op27no1,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 14 i,1801,Op27no2,Piano,NA,NA,SoloSonata,C# minor
Piano Sonata 14 ii,1801,Op27no2,Piano,NA,NA,SoloSonata,Db major
Piano Sonata 14 iii,1801,Op27no2,Piano,NA,NA,SoloSonata,C# minor
Piano Sonata 15 i,1801,Op28,Piano,NA,NA,SoloSonata,D major
Piano Sonata 15 ii,1801,Op28,Piano,NA,NA,SoloSonata,D minor
Piano Sonata 15 iii,1801,Op28,Piano,NA,NA,SoloSonata,D major
Piano Sonata 15 iv,1801,Op28,Piano,NA,NA,SoloSonata,D major
Piano Sonata 16 i,1802,Op31no1,Piano,NA,NA,SoloSonata,G major
Piano Sonata 16 iii,1802,Op31no1,Piano,NA,NA,SoloSonata,G major
Piano Sonata 16 ii,1802,Op31no1,Piano,NA,NA,SoloSonata,C major
Piano Sonata 17 i,1802,Op31no2,Piano,NA,NA,SoloSonata,D minor
Piano Sonata 17 ii,1802,Op31no2,Piano,NA,NA,SoloSonata,Bb major
Piano Sonata 17 iii,1802,Op31no2,Piano,NA,NA,SoloSonata,D minor
Piano Sonata 18 i,1802,Op31no3,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 18 ii,1802,Op31no3,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 18 iii,1802,Op31no3,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 18 iv,1802,Op31no3,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 19 i,1796,Op49no1,Piano,NA,NA,SoloSonata,G major
Piano Sonata 19 ii,1796,Op49no1,Piano,NA,NA,SoloSonata,G major
Piano Sonata 20 i,1796,Op49no2,Piano,NA,NA,SoloSonata,G major
Piano Sonata 20 ii,1796,Op49no2,Piano,NA,NA,SoloSonata,G major
Piano Sonata 21 i,1804,Op53,Piano,NA,NA,SoloSonata,C major
Piano Sonata 21 ii,1804,Op53,Piano,NA,NA,SoloSonata,F major
Piano Sonata 21 iii,1804,Op53,Piano,NA,NA,SoloSonata,C major
Piano Sonata 22 i,1804,Op54,Piano,NA,NA,SoloSonata,F major
